1)NOTE: Values of ts are given by the following table:
New Task
Old Task 		To 32 Bit TSS 	To 16 Bit TSS 	To VM TSS
7E cb 		JNG rel8 		1 		Jump short if not greater (ZF=1 or SF<>OF)
7C cb 		JNGE rel8 		1 		Jump short if not greater or equal (SF<>OF)
7D cb 		JNL rel8 		1 		Jump short if not less (SF=OF)
7F cb 		JNLE rel8 		1 		Jump short if not less or equal (ZF=0 and SF=OF)
71 cb 		JNO rel8 		1 		Jump short if not overflow (OF=0)
7B cb 		JNP rel8 		1 		Jump short if not parity (PF=0)
79 cb 		JNS rel8 		1 		Jump short if not sign (SF=0)
75 cb 		JNZ rel8 		1 		Jump short if not zero (ZF=0)
70 cb 		JO rel8 		1 		Jump short if overflow (OF=1)
7A cb 		JP rel8 		1 		Jump short if parity (PF=1)
7A cb 		JPE rel8 		1 		Jump short if parity even (PF=1)
7B cb 		JPO rel8 		1 		Jump short if parity odd (PF=0)
78 cb 		JS rel8 		1 		Jump short if sign (SF=1)
74 cb 		JZ rel8 		1 		Jump short if zero (ZF = 1)
0F 87 cw/cd 	JA rel16/32 		1 		Jump near if above (CF=0 and ZF=0)
0F 83 cw/cd 	JAE rel16/32 		1 		Jump near if above or equal (CF=0)
0F 82 cw/cd 	JB rel16/32 		1 		Jump near if below (CF=1)
0F 86 cw/cd 	JBE rel16/32 		1 		Jump near if below or equal (CF=1 or ZF=1)
0F 82 cw/cd 	JC rel16/32 		1 		Jump near if carry (CF=1)
0F 84 cw/cd 	JE rel16/32 		1 		Jump near if equal (ZF=1)
0F 84 cw/cd 	JZ rel16/32 		1 		Jump near if 0 (ZF=1)
0F 8F cw/cd 	JG rel16/32 		1 		Jump near if greater (ZF=0 and SF=OF)
0F 8D cw/cd 	JGE rel16/32 		1 		Jump near if greater or equal (SF=OF)
0F 8C cw/cd 	JL rel16/32 		1 		Jump near if less (SF<>OF)
0F 8E cw/cd 	JLE rel16/32 		1 		Jump near if less or equal (ZF=1 or SF<>OF)
0F 86 cw/cd 	JNA rel16/32 		1 		Jump near if not above (CF=1 or ZF=1)
0F 82 cw/cd 	JNAE rel16/32 		1 		Jump near if not above or equal (CF=1)
0F 83 cw/cd 	JNB rel16/32 		1 		Jump near if not below (CF=0)
0F 87 cw/cd 	JNBE rel16/32 		1 		Jump near if not below or equal (CF=0 and ZF=0)
0F 83 cw/cd 	JNC rel16/32 		1 		Jump near if not carry (CF=0)
0F 85 cw/cd 	JNE rel16/32 		1 		Jump near if not equal (ZF=0)
0F 8E cw/cd 	JNG rel16/32 		1 		Jump near if not greater (ZF=1 or SF<>OF)
0F 8C cw/cd 	JNGE rel16/32 		1 		Jump near if not greater or equal (SF<>OF)
0F 8D cw/cd 	JNL rel16/32 		1 		Jump near if not less (SF=OF)
0F 8F cw/cd 	JNLE rel16/32 		1 		Jump near if not less or equal (ZF=0 and SF=OF)
0F 81 cw/cd 	JNO rel16/32 		1 		Jump near if not overflow (OF=0)
0F 8B cw/cd 	JNP rel16/32 		1 		Jump near if not parity (PF=0)
0F 89 cw/cd 	JNS rel16/32 		1 		Jump near if not sign (SF=0)
0F 85 cw/cd 	JNZ rel16/32 		1 		Jump near if not zero (ZF=0)
0F 80 cw/cd 	JO rel16/32 		1 		Jump near if overflow (OF=1)
0F 8A cw/cd 	JP rel16/32 		1 		Jump near if parity (PF=1)
0F 8A cw/cd 	JPE rel16/32 		1 		Jump near if parity even (PF=1)
0F 8B cw/cd 	JPO rel16/32 		1 		Jump near if parity odd (PF=0)
0F 88 cw/cd 	JS rel16/32 		1 		Jump near if sign (SF=1)
0F 84 cw/cd 	JZ rel16/32 		1 		Jump near if 0 (ZF=1)
EB cb 		JMP rel8 		1 		Jump short
E9 cw 		JMP rel16 		1 		Jump near, displacement relative to next instruction
FF /4 		JMP r/m16 		2 		Jump near indirect
EA cd 		JMP ptr16:16 		3 		Jump intersegment, 4-byte immediate address
EA cd 		JMP ptr16:16 		18 		Jump to call gate, same privilege
EA cd 		JMP ptr16:16 		19+TS 		Jump via task state segment
EA cd 		JMP ptr16:16 		20+TS 		Jump via task gate
FF /5 		JMP m16:16 		4 		Jump r/m16:16 indirect and intersegment
FF /5 		JMP m16:16 		18 		Jump to call gate, same privilege
FF /5 		JMP m16:16 		19+TS 		Jump via task state segment
FF /5 		JMP m16:16 		20+TS 		Jump via task gate
E9 cd 		JMP rel32 		1 		Jump near, displacement relative to next instruction
FF /4 		JMP r/m32 		2 		Jump near, indirect
EA cp 		JMP ptr16:32 		3 		Jump intersegment, 6-byte immediate address
EA cp 		JMP ptr16:32 		18 		Jump to call gate, same privilege
EA cp 		JMP ptr16:32 		19+TS 		Jump via task state segment
EA cp 		JMP ptr16:32 		20+TS 		Jump via task gate
FF /5 		JMP m16:32 		4 		Jump intersegment, address at r/m dword
FF /5 		JMP m16:32 		18		Jump to call gate, same privilege
FF /5 		JMP m16:32 		19+TS 		Jump via task state segment
FF /5 		JMP m16:32 		20+TS 		Jump via task gate
9F 		LAHF 			2 		Load: AH = flags SF ZF xx AF xx PF xx CF
0F 02 /r 	LAR r16,r/m16 		8 		r16 ¬ r/m16 masked by FF00
0F 02 /r 	LAR r32,r/m32 		8 		r32 ¬ /m32 masked by 00FxFF00
C5 /r 		LDS r16,m16:16 		4 		Load DS:r16 with pointer from memory
C5 /r 		LDS r32,m16:32 		4 		Load DS:r32 with pointer from memory
0F B2 /r 	LSS r16,m16:16 		4/pm=8 		Load SS:r16 with pointer from memory
0F B2 /r 	LSS r32,m16:32 		4/pm=8 		Load SS:r32 with pointer from memory
C4 /r 		LES r16,m16:16 		4 		Load ES:r16 with pointer from memory
C4 /r 		LES r32,m16:32 		4 		Load ES:r32 with pointer from memory
0F B4 /r 	LFS r16,m16:16 		4 		Load FS:r16 with pointer from memory
0F B4 /r 	LFS r32,m16:32 		4 		Load FS:r32 with pointer from memory
0F B5 /r 	LGS r16,m16:16 		4 		Load GS:r16 with pointer from memory
0F B5 /r 	LGS r32,m16:32 		4 		Load GS:r32 with pointer from memory
8D /r 		LEA r16,m 		1 		Store effective address for m in register r16
8D /r 		LEA r32,m 		1 		Store effective address for m in register r32
8D /r 		LEA r16,m 		1 		Store effective address for m in register r16
8D /r 		LEA r32,m 		1 		Store effective address for m in register r32
8D /r 		LEA r16,m 		1 		Store effective address for m in register r16
8D /r 		LEA r32,m 		1 		Store effective address for m in register r32
8D /r 		LEA r16,m 		1 		Store effective address for m in register r16
8D /r 		LEA r32,m 		1 		Store effective address for m in register r32
C9 		LEAVE 			3 		Set SP to BP, then pop BP
C9 		LEAVE 			3 		Set ESP to EBP, then pop EBP
0F 01 /2 	LGDT m16&32 		6 		Load m into GDTR
0F 01 /3 	LIDT m16&32 		6 		Load m into IDTR
0F 00 /2 	LLDT r/m16 		9 		Load selector r/m16 into LDTR
0F 01 /6 	LMSW r/m16 		8 		Load r/m16 in machine status word
F0 		LOCK 			1 		Assert LOCK# signal for the next instruction
AC 		LODS m8 		2 		Load byte [(E)SI] into AL
AD 		LODS m16 		2 		Load word [(E)SI] into AX
AD 		LODS m32 		2 		Load dword [(E)SI] into EAX
AC 		LODSB 			2 		Load byte DS:[(E)SI] into AL
AD 		LODSW 			2 		Load word DS:[(E)SI] into AX
AD 		LODSD 			2 		Load dword DS:[(E)SI] into EAX
E2 cb 		LOOP rel8 		5/6 		DEC count; jump short if count <> 0
E1 cb 		LOOPE rel8 		7/8 		DEC count; jump short if count <> 0 and ZF=1
E1 cb 		LOOPZ rel8 		7/8 		DEC count; jump short if count <> 0 and ZF=1
E0 cb 		LOOPNE rel8 		7/8 		DEC count; jump short if count <> 0 and ZF=0
E0 cb 		LOOPNZ rel8 		7/8 		DEC count; jump short if count <> 0 and ZF=0
0F 03 /r 	LSL r16,r/m16 		8 		Load: r16 ¬ segment limit, selector r/m16 (byte granular)
0F 03 /r 	LSL r32,r/m32 		8 		Load: r32 ¬ segment limit, selector r/m32 (byte granular)
0F 03 /r 	LSL r16,r/m16 		8 		Load: r16 ¬ segment limit, selector r/m16 (page granular)
0F 03 /r 	LSL r32,r/m32 		8 		Load: r32 ¬ segment limit, selector r/m32 (page granular)
0F 00 /3 	LTR r/m16 		10 		Load EA word into task register
88 /r 		MOV r/m8,r8 		1 		Move byte register to r/m byte
89 /r 		MOV r/m16,r16 		1 		Move word register to r/m word
89 /r 		MOV r/m32,r32 		1 		Move dword register to r/m dword
8A /r 		MOV r8,r/m8 		1 		Move r/m byte to byte register
8B /r 		MOV r16,r/m16 		1 		Move r/m word to word register
8B /r 		MOV r32,r/m32 		1 		Move r/m dword to dword register
8C /r 		MOV r/m16,Sreg* 	1 		Move segment register to r/m word
8E /r 		MOV Sreg,r/m16 		2/3** 		Move r/m word to segment register
A0 		MOV AL,moffs8 		1 		Move byte at (seg:offset) to AL
A1 		MOV AX,moffs16 		1 		Move word at (seg:offset) to AX
A1 		MOV EAX,moffs32 	1 		Move dword at (seg:offset) to EAX
A2 		MOV moffs8,AL 		1 		Move AL to (seg:offset)
A3 		MOV moffs16,AX 		1 		Move AX to (seg:offset)
A3 		MOV moffs32,EAX 	1 		Move EAX to (seg:offset)
B0+ rb 		MOV reg8,imm8 		1 		Move immediate byte to register
B8+ rw 		MOV reg16,imm16 	1 		Move immediate word to register
B8+ rd 		MOV reg32,imm32 	1 		Move immediate dword to register
C6 /0 		MOV r/m8,imm8 		1 		Move immediate byte to r/m byte
C7 /0 		MOV r/m16,imm16 	1 		Move immediate word to r/m word
C7 /0 		MOV r/m32,imm32 	1 		Move immediate dword to r/m dword
0F 22 /r 	MOV CR0,r32 		22 		Move (register) to (control register 0)
0F 22 /r 	MOV CR2,r32 		12 		Move (register) to (control register 2)
0F 22 /r 	MOV CR3,r32 		21/46 		Move (register) to (control register 3)
0F 22 /r 	MOV CR4,r32 		14 		Move (register) to (control register 4)
0F 20 /r 	MOV r32,CR0-4 		4 		Move (control register) to (register)
0F 21/r 	MOV r32, DR0-DR3 	11 		Move (debug register) to (register)
0F 21/r 	MOV r32, DR4-DR5 	12 		Move (debug register) to (register)
0F 21/r 	MOV r32, DR6-DR7 	11 		Move (debug register) to (register)
0F 23 /r 	MOV DR0-DR3, r32 	11 		Move (register) to (debug register)
0F 23 /r 	MOV DR4-DR5, r32 	12 		Move (register) to (debug register)
0F 23 /r 	MOV DR6-DR7,r32 	11 		Move (register) to (debug register)
A4 		MOVS m8,m8 		4 		Move byte [(E)SI] to ES:[(E)DI]
A5 		MOVS m16,m16 		4 		Move word [(E)SI] to ES:[(E)DI]
A5 		MOVS m32,m32 		4 		Move dword [(E)SI] to ES:[(E)DI]
A4 		MOVSB 			4 		Move byte DS:[(E)SI] to ES:[(E)DI]
A5 		MOVSW 			4 		Move word DS:[(E)SI] to ES:[(E)DI]
A5 		MOVSD 			4 		Move dword DS:[(E)SI] to ES:[(E)DI]
0F BE /r 	MOVSX r16,r/m8 		3 		Move byte to word with sign-extend
0F BE /r 	MOVSX r32,r/m8 		3 		Move byte to dword, sign-extend
0F BF /r 	MOVSX r32,r/m16 	3 		Move word to dword, sign-extend
0F B6 /r 	MOVZX r16,r/m8 		3 		Move byte to word with zero-extend
0F B6 /r 	MOVZX r32,r/m8 		3 		Move byte to dword, zero-extend
0F B7 /r 	MOVZX r32,r/m16 	3 		Move word to dword, zero-extend
F6 /4 		MUL AL,r/m8 		11 		Unsigned multiply (AX ¬ AL * r/m byte)
F7 /4 		MUL AX,r/m16 		11 		Unsigned multiply (DX:AX ¬ AX * r/m word)
F7 /4 		MUL EAX,r/m32 		10 		Unsigned multiply (EDX:EAX ¬ EAX * r/m dword)
F6 /3 		NEG r/m8 		1/3 		Two's complement negate r/m byte
F7 /3 		NEG r/m16		1/3 		Two's complement negate r/m word
F7 /3 		NEG r/m32 		1/3 		Two's complement negate r/m dword
90 		NOP 			1 		No operation
F6 /2 		NOT r/m8 		1/3 		Reverse each bit of r/m byte
F7 /2 		NOT r/m16 		1/3 		Reverse each bit of r/m word
F7 /2 		NOT r/m32 		1/3 		Reverse each bit of r/m dword
0C ib 		OR AL,imm8 		1 		OR immediate byte to AL
0D iw 		OR AX,imm16 		1 		OR immediate word to AX
0D id 		OR EAX,imm32 		1 		OR immediate dword to EAX
80 /1 ib 	OR r/m8,imm8 		1/3 		OR immediate byte to r/m byte
81 /1 iw 	OR r/m16,imm16 		1/3 		OR immediate word to r/m word
81 /1 id 	OR r/m32,imm32 		1/3 		OR immediate dword to r/m dword
83 /1 ib 	OR r/m16,imm8 		1/3 		OR sign-extended immediate byte with r/m word
83 /1 ib 	OR r/m32,imm8 		1/3 		OR sign-extended immediate byte with r/m dword
08 /r 		OR r/m8,r8 		1/3 		OR byte register to r/m byte
09 /r 		OR r/m16,r16 		1/3 		OR word register to r/m word
09 /r 		OR r/m32,r32 		1/3 		OR dword register to r/m dword
0A /r 		OR r8,r/m8 		1/2 		OR byte register to r/m byte
0B /r 		OR r16,r/m16 		1/2 		OR word register to r/m word
0B /r 		OR r32,r/m32 		1/2 		OR dword register to r/m dword
E6 ib 		OUT imm8,AL 		12,pm=9*/26**,vm=24 	Output byte AL to immediate port number
E7 ib 		OUT imm8,AX 		12,pm=9*/26**,vm=24 	Output word AX to immediate port number
E7 ib 		OUT imm8,EAX 		12,pm=9*/26**,vm=24 	Output dword EAX to immediate port number
EE 		OUT DX,AL 		12,pm=9*/25**,vm=24 	Output byte AL to port number in DX
EF 		OUT DX,AX 		12,pm=9*/25**,vm=24 	Output word AX to port number in DX
EF 		OUT DX,EAX 		12,pm=9*/25**,vm=24 	Output dword EAX to port number in DX
6E 		OUTS DX,r/m8 		13,pm=10*/27**,VM=25 	Output byte [(E)SI] to port in DX
6F 		OUTS DX,r/m16 		13,pm=10*/27**,VM=25 	Output word [(E)SI] to port in DX
6F 		OUTS DX,r/m32 		13,pm=10*/27**,VM=25 	Output dword [(E)SI] to port in DX
6E 		OUTSB 			13,pm=10*/27**,VM=25 	Output byte DS:[(E)SI] to port in DX
6F 		OUTSW 			13,pm=10*/27**,VM=25 	Output word DS:[(E)SI] to port in DX
6F 		OUTSD 			13,pm=10*/27**,VM=25 	Output dword DS:[(E)SI] to port in DX
8F /0 		POP m16 		3 		Pop top of stack into memory word
8F /0 		POP m32 		3 		Pop top of stack into memory dword
58+ rw 		POP r16 		1 		Pop top of stack into word register
58+ rd 		POP r32 		1 		Pop top of stack into dword register
1F 		POP DS 			3 		Pop top of stack into DS
07 		POP ES 			3 		Pop top of stack into ES
17 		POP SS 			3 		Pop top of stack into SS
0F A1 		POP FS 			3 		Pop top of stack into FS
0F A9 		POP GS 			3 		Pop top of stack into GS
61 		POPA 			5 		Pop DI, SI, BP, BX, DX, CX, and AX
61 		POPAD			5 		Pop EDI, ESI, EBP, EDX, ECX, and EAX
9D 		POPF 			pm= 4,rm and vm= 6 	Pop top of stack FLAGS
9D 		POPFD 			pm= 4,rm and vm= 6 	Pop top of stack into EFLAGS
FF /6 		PUSH r/m16 		1/2 		Push reg/mem word
FF /6 		PUSH r/m32 		1/2 		Push reg/mem dword
50+rw 		PUSH r16 		1 		Push register word
50+rd 		PUSH r32 		1 		Push register dword
6A 		PUSH imm8 		1 		Push immediate byte
68 		PUSH imm16 		1 		Push immediate word
68 		PUSH imm32 		1 		Push immediate dword
0E 		PUSH CS 		1 		Push CS
16 		PUSH SS 		1 		Push SS
1E 		PUSH DS 		1 		Push DS
06 		PUSH ES 		1 		Push ES
0F A0 		PUSH FS 		1 		Push FS
0F A8 		PUSH GS 		1 		Push GS
60 		PUSHA 			5 		Push AX, CX, DX, BX, original SP, BP, SI, and DI
60 		PUSHAD 			5 		Push EAX, ECX, EDX, EBX, original ESP, EBP, ESI, and EDI
9C 		PUSHF 			pm=3, rm and vm=4 	Push FLAGS
9C 		PUSHFD			pm=3,rm and vm=4 	Push EFLAGS
D0 /2 		RCL r/m8,1 		1/3 		Rotate 9 bits (CF,r/m byte) left once
D2 /2 		RCL r/m8,CL 		7-24/9-26 	Rotate 9 bits (CF,r/m byte) left CL times
C0 /2 ib 	RCL r/m8,imm8 		8-25/10-27 	Rotate 9 bits (CF,r/m byte) left imm8 times
D1 /2 		RCL r/m16,1 		1/3 		Rotate 17 bits (CF,r/m word) left once
D3 /2 		RCL r/m16,CL 		7-24/9-26 	Rotate 17 bits (CF,r/m word) left CL times
C1 /2 ib 	RCL r/m16,imm8 		8-25/10-27 	Rotate 17 bits (CF,r/m word) left imm8 times
D1 /2 		RCL r/m32,1 		1/3 		Rotate 33 bits (CF,r/m dword) left once
D3 /2 		RCL r/m32,CL 		7-24/9-26 	Rotate 33 bits (CF,r/m dword) left CL times
C1 /2 ib 	RCL r/m32,imm8 		8-25/10-27 	Rotate 33 bits (CF,r/m dword) left imm8 times
D0 /3 		RCR r/m8,1 		1/3 		Rotate 9 bits (CF,r/m byte) right once
D2 /3 		RCR r/m8,CL 		7-24/9-26 	Rotate 9 bits (CF,r/m byte) right CL times
C0 /3 ib 	RCR r/m8,imm8 		8-25/10-27 	Rotate 9 bits (CF,r/m byte) right imm8 times
D1 /3 		RCR r/m16,1 		1/3 		Rotate 17 bits (CF,r/m word) right once
D3 /3 		RCR r/m16,CL 		7-24/9-26 	Rotate 17 bits (CF,r/m word) right CL times
C1 /3 ib 	RCR r/m16,imm8 		8-25/10-27 	Rotate 17 bits (CF,r/m word) right imm8 times
D1 /3 		RCR r/m32,1 		1/3 		Rotate 33 bits (CF,r/m dword) right once
D3 /3 		RCR r/m32,CL 		7-24/9-26 	Rotate 33 bits (CF,r/m dword) right CL times
C1 /3 ib 	RCR r/m32,imm8 		8-25/10-27 	Rotate 33 bits (CF,r/m dword) right imm8 times
D0 /0 		ROL r/m8,1 		1/3 		Rotate 8 bits r/m byte left once
D2 /0 		ROL r/m8,CL 		4 		Rotate 8 bits r/m byte left CL times
C0 /0 ib 	ROL r/m8,imm8 		1/3 		Rotate 8 bits r/m byte left imm8 times
D1 /0 		ROL r/m16,1 		1/3 		Rotate 16 bits r/m word left once
D3 /0 		ROL r/m16,CL 		4 		Rotate 16 bits r/m word left CL times
C1 /0 ib 	ROL r/m16,imm8 		1/3 		Rotate 16 bits r/m word left imm8 times
D1 /0 		ROL r/m32,1 		1/3 		Rotate 32 bits r/m dword left once
D3 /0 		ROL r/m32,CL 		4 		Rotate 32 bits r/m dword left CL times
C1 /0 ib 	ROL r/m32,imm8 		1/3 		Rotate 32 bits r/m dword left imm8 times
D0 /1 		ROR r/m8,1 		1/3 		Rotate 8 bits r/m byte right once
D2 /1 		ROR r/m8,CL 		4 		Rotate 8 bits r/m byte right CL times
C0 /1 ib 	ROR r/m8,imm8 		1/3 		Rotate 8 bits r/m word right imm8 times
D1 /1 		ROR r/m16,1 		1/3 		Rotate 16 bits r/m word right once
D3 /1 		ROR r/m16,CL 		4 		Rotate 16 bits r/m word right CL times
C1 /1 ib 	ROR r/m16,imm8 		1/3 		Rotate 16 bits r/m word right imm8 times
D1 /1 		ROR r/m32,1 		1/3 		Rotate 32 bits r/m dword right once
D3 /1 		ROR r/m32,CL 		4 		Rotate 32 bits r/m dword right CL times
C1 /1 ib 	ROR r/m32,imm8 		1/3 		Rotate 32 bits r/m dword right imm8 times
0F 32 		RDMSR 			20-24 		Read Model Specific Register indicated by ECX into EDX:EAX
0F 31 		RDTSC 			6-11* 		Read Time Stamp Counter into EDX:EAX
F3 6C 		REP INS r/m8, DX 	11+3(E)CX,pm=8+3(E)CX*1/25+3(E)CX*2,VM=23+3(E)CX	Input (E)CX bytes from port DX into ES:[(E)DI]
F3 6D 		REP INS r/m16,DX 	11+3(E)CX,pm=8+3(E)CX*1/25+3(E)CX*2,VM=23+3(E)CX	Input (E)CX words from port DX into ES:[(E)DI]
F3 6D 		REP INS r/m32,DX 	11+3(E)CX,pm=8+3(E)CX*1/25+3(E)CX*2,VM=23+3(E)CX	Input (E)CX dwords from port DX into ES:[(E)DI]
F3 A4 		REP MOVS m8,m8 		6*3,13*4,13+(E)CX*5	Move (E)CX bytes from [(E)SI] to ES:[(E)DI]
F3 A5 		REP MOVS m16,m16 	6*3,13*4,13+(E)CX*5	Move (E)CX words from [(E)SI] to ES:[(E)DI]
F3 A5 		REP MOVS m32,m32 	6*3,13*4,13+(E)CX*5	Move (E)CX dwords from [(E)SI] to ES:[(E)DI]
F3 6E 		REP OUTS DX,r/m8 	13+4(E)CX,m=10+4(E)CX*127+4(E)CX*2vm=25+4(E)CX	Output (E)CX bytes from [(E)SI] to port DX
F3 6F 		REP OUTS DX,r/m16	13+4(E)CX,pm=10+4(E)CX*127+4(E)CX*2vm=25+4(E)CX	Output (E)CX words from [(E)SI] to port DX
F3 6F 		REP OUTS DX,r/m32 	13+4(E)CX,pm=10+4(E)CX*127+4(E)CX*2vm=25+4(E)CX	Output (E)CX dwords from [(E)SI] to port DX
F3 AC 		REP LODS AL 		7*3,7+3(E)CX*6 	Load (E)CX bytes from [(E)SI] to AL
F3 AD 		REP LODS AX 		7*3,7+3(E)CX*6 	Load (E)CX words from [(E)SI] to AX
F3 AD 		REP LODS EAX 		7*3,7+3(E)CX*6 	Load (E)CX dwords from [(E)SI] to EAX
F3 AA		REP STOS m8 		6*3,9(E)CX*6 	Fill (E)CX bytes at ES:[(E)DI] with AL
F3 AB 		REP STOS m16 		6*3,9(E)CX*6 	Fill (E)CX words at ES:[(E)DI] with AX
F3 AB 		REP STOS m32 		6*3,9(E)CX*6 	Fill (E)CX dwords at ES:[(E)DI] with EAX
F3 A6 		REPE CMPS m8,m8 	*3,9+4(E)CX*6 	Find nonmatching bytes in ES:[(E)DI] and [(E)SI]
F3 A7 		REPE CMPS m16,m16 	7*3,9+4(E)CX*6 	Find nonmatching words in ES:[(E)DI] and [(E)SI]
F3 A7 		REPE CMPS m32,m32 	7*3,9+4(E)CX*6 	Find nonmatching dwords in ES:[(E)DI] and [(E)SI]
F3 AE 		REPE SCAS m8 		7*3,9+4(E)CX*6 	Find non-AL byte starting at ES:[(E)DI]
F3 AF 		REPE SCAS m16 		7*3,9+4(E)CX*6 	Find non-AX word starting at ES:[(E)DI]
F3 AF 		REPE SCAS m32 		7*3,9+4(E)CX*6 	Find non-EAX dword starting at ES:[(E)DI]
F2 A6 		REPNE CMPS m8,m8 	7*3,8+4(E)CX*6 	Find matching bytes in ES:[(E)DI] and [(E)SI]
F2 A7 		REPNE CMPSm16,m16	7*3,8+4(E)CX*6 	Find matching words in ES:[(E)DI] and [(E)SI]
F2 A7 		REPNE CMPSm32,m32	7*3,8+4(E)CX*6 	Find matching dwords in ES:[(E)DI] and [(E)SI]
F2 AE 		REPNE SCAS m8 		7*3,9+4(E)CX*6 	Find AL, starting at ES:[(E)DI]
F2 AF 		REPNE SCAS m16 		7*3,9+4(E)CX*6 	Find AX, starting at ES:[(E)DI]
F2 AF 		REPNE SCAS m32 		7*3,9+4(E)CX*6 	Find EAX, starting at ES:[(E)DI]
C3 		RET 			2 		Return (near) to caller
CB 		RET 			4 		Return (far) to caller, same privilege
CB 		RET 			23 		Return (far), lesser privilege, switch stacks
C2 iw 		RET imm16 		3 		Return (near), pop imm16 bytes of parameters
CA iw 		RET imm16 		4 		Return (far), same privilege, pop imm16 bytes
CA iw 		RET imm16 		23 		Return (far), lesser privilege, pop imm16 bytes
0F AA 		RSM 			83 		Resume operation of interrupted program
9E 		SAHF 			2 		Store AH into flags SF ZF xx AF xx PF xx CF
D0 /4 		SAL r/m8,1 		1/3 		Multiply r/m byte by 2, once
D2 /4 		SAL r/m8,CL 		4 		Multiply r/m byte by 2, CL times
C0 /4 ib 	SAL r/m8,imm8 		1/3 		Multiply r/m byte by 2, imm8 times
D1 /4 		SAL r/m16,1 		1/3 		Multiply r/m word by 2, once
D3 /4 		SAL r/m16,CL 		4 		Multiply r/m word by 2, CL times
C1 /4 ib 	SAL r/m16,imm8 		1/3 		Multiply r/m word by 2, imm8 times
D1 /4 		SAL r/m32,1 		1/3 		Multiply r/m dword by 2, once
D3 /4 		SAL r/m32,CL 		4 		Multiply r/m dword by 2, CL times
C1 /4 ib 	SAL r/m32,imm8 		1/3 		Multiply r/m dword by 2, imm8 times
D0 /7 		SAR r/m8,1 		1/3 		Signed divide1 r/m byte by 2, once
D2 /7 		SAR r/m8,CL 		4 		Signed divide1 r/m byte by 2, CL times
C0 /7 ib 	SAR r/m8,imm8 		1/3 		Signed divide1 r/m byte by 2, imm8 times
D1 /7 		SAR r/m16,1 		1/3 		Signed divide1 r/m word by 2, once
D3 /7 		SAR r/m16,CL 		4 		Signed divide1 r/m word by 2, CL times
C1 /7 ib 	SAR r/m16,imm8 		1/3 		Signed divide1 r/m word by 2, imm8 times
D1 /7 		SAR r/m32,1 		1/3 		Signed divide1 r/m dword by 2, once
D3 /7 		SAR r/m32,CL 		4 		Signed divide1r/m dword by 2, CL times
C1 /7 ib 	SAR r/m32,imm8 		1/3 		Signed divide1r/m dword by 2, imm8 times
D0 /4 		SHL r/m8,1 		1/3 		Multiply r/m byte by 2, once
D2 /4 		SHL r/m8,CL 		4 		Multiply r/m byte by 2, CL times
C0 /4 ib 	SHL r/m8,imm8 		1/3 		Multiply r/m byte by 2, imm8 times
D1 /4 		SHL r/m16,1 		1/3 		Multiply r/m word by 2, once
D3 /4 		SHL r/m16,CL 		4 		Multiply r/m word by 2, CL times
C1 /4 ib 	SHL r/m16,imm8 		1/3 		Multiply r/m word by 2, imm8 times
D1 /4 		SHL r/m32,1 		1/3 		Multiply r/m dword by 2, once
D3 /4 		SHL r/m32,CL 		4 		Multiply r/m dword by 2, CL times
C1 /4 ib 	SHL r/m32,imm8 		1/3 		Multiply r/m dword by 2, imm8 times
D0 /5 		SHR r/m8,1 		1/3 		Unsigned divide r/m byte by 2, once
D2 /5 		SHR r/m8,CL 		4 		Unsigned divide r/m byte by 2, CL times
C0 /5 ib 	SHR r/m8,imm8 		1/3 		Unsigned divide r/m byte by 2, imm8 times
D1 /5 		SHR r/m16,1 		1/3		Unsigned divide r/m word by 2, once
D3 /5 		SHR r/m16,CL 		4 		Unsigned divide r/m word by 2, CL times
C1 /5 ib 	SHR r/m16,imm8 		1/3 		Unsigned divide r/m word by 2, imm8 times
D1 /5 		SHR r/m32,1 		1/3 		Unsigned divide r/m dword by 2, once
D3 /5 		SHR r/m32,CL 		4 		Unsigned divide r/m dword by 2, CL times
C1 /5 ib 	SHR r/m32,imm8 		1/3 		Unsigned divide r/m dword by 2, imm8 times
1C ib 		SBB AL,imm8 		1 		Subtract with borrow immediate byte from AL
1D iw 		SBB AX,imm16 		1 		Subtract with borrow immediate word from AX
1D id 		SBB EAX,imm32 		1 		Subtract with borrow immediate dword from EAX
80 /3 ib 	SBB r/m8,imm8 		1/3 		Subtract with borrow immediate byte from r/m byte
81 /3 iw 	SBB r/m16,imm16 	1/3 		Subtract with borrow immediate word from r/m word
81 /3 id 	SBB r/m32,imm32 	1/3 		Subtract with borrow immediate dword from r/m dword
83 /3 ib 	SBB r/m16,imm8 		1/3 		Subtract with borrow sign-extended immediate byte from r/m word
83 /3 ib 	SBB r/m32,imm8 		1/3 		Subtract with borrow sign-extended immediate byte from r/m dword
18 /r 		SBB r/m8,r8 		1/3 		Subtract with borrow byte register from r/m byte
19 /r 		SBB r/m16,r16 		1/3 		Subtract with borrow word register from r/m word
19 /r 		SBB r/m32,r32 		1/3 		Subtract with borrow dword register from r/m dword
1A /r 		SBB r8,r/m8 		1/2 		Subtract with borrow r/m byte from byte register
1B /r 		SBB r16,r/m16 		1/2 		Subtract with borrow r/m word from word register
1B /r 		SBB r32,r/m32 		1/2 		Subtract with borrow r/m dword from dword register
AE 		SCAS m8 		4 		Compare bytes AL-ES:[(E)DI], update (E)DI
AF 		SCAS m16 		4 		Compare words AX-ES:[(E)DI], update (E)DI
